lb_hab_fr;lb_code
Clairière ou bords de piste à strate herbacée haute;211f
Clairière ou bords de piste à courte strate herbacée;234f
Rive de mare permanente sous la canopée;7462f
Mare temporaire sous canopée;713f
Source en forêt;731f
Source en forêt;732f
Résurgence en forêt;733f
Petites zone ouverte en forêt avec résurgence;7331f
Fossé de drainage en forêt;734f
Fossé de drainage le long de piste en plantation;735f
Ruisseau saisonnier en forêt;7332f
Berges de ruisseau en forêt;7442f
Berges de rivière en forêt;7441f
Bouse de vache en forêt;7131f
Affleurement rocheux en forêt;75f
Fourrés d'Opuntia;76f
Touffes d'asphodèles;77f
mature;1811
jeunes arbres;1812
Pinus sylvestris;182
mature;1821
jeunes arbres;1822
Arbres épars en milieu ouvert (gén.);19
feuillus (gén.);190
sur-mature;1901
mature;1902
Hêtres;1911
sur-mature;19111
mature;19112
Chênes;1912
sur-mature;19121
mature;19122
Frênes;1913
sur-mature;19131
mature;19132
Autres bois durs;1914
sur-mature;19141
mature;19142
Peupliers;1915
sur-mature;19151
mature;19152
Saules;1916
sur-mature;19161
mature;19162
Conifères;192
sur-mature;1921
mature;1922
Berges de ruisseau/rivières en milieux ouverts;7442o
Source en milieux ouverts;731o
Source en milieux ouverts;732o
Résurgence en milieux ouverts;733o
Ruisseau saisonnier en milieux ouverts;7332o
Fossé de drainage en milieux ouverts;734o
Mare temporaire en milieux ouverts;713o
Mare permanente en milieux ouverts;712o
Berges de mare permanente en milieux ouverts;7462o
Bouses de vache en milieux ouverts;7131o
Mare et berges de mare avec bouses de vache en milieux ouverts;71311o
Affleurement rocheux en milieux ouverts;75o
Fourrés d’Opuntia;76o
Touffes d'asphodèles;77o
Banquette de Rumex alpinus;78o
MACROHABITATS DE MILIEUX OUVERTS (gén.);2
Communautés d’herbes hautes (gén.);21
de plaine;211
Montagnarde/subalpine;212
Lisière des forêts thermophiles;22
Prairie/pelouse (gén.);23
Prairie/pelouse non améliorée (gén.);231
Prairie/pelouse non améliorée de plaine (gén.);2311
Xérique/semi-aride (gén.);23111
ouverte;231111
fermée;231112
Très sèche;23115
acidophile;231151
calcaire;231152
Sèche (général);23112
acidophile;231121
calcaire;231122
Humide (gén.);23113
eutrophe/mesotrophe;231131
oligotrophe;231132
Alluviale;23114
Prairie/pelouse steppique;23116
Prairie/pelouse non améliorée de montagne (gén.);2312
acidophile;23121
calcaire;23122
Prairie/ pelouse non améliorée subalpines/alpines (gén.);2313
acidophile;23131
calcaire;23132
Prairie/ pelouse améliorée (gén.);232
Prairie/ pelouse améliorée de plaine (gén.);2321
Légèrement pâturée;23211
Lourdement pâturée;23212
bovins;232121
ovins;232122
foin;23213
Prairie/ pelouse améliorée de montagne;2322
Prairie intensive;233
Lande tourbeuse;24
Lande à bruyères;25
de plaine;251
subalpine;252
méditerranéenne;253
Lande épineuse;254
Phrygana de la mer Égée;26
Plages et dunes côtières (gén.);27
Plage côtière (gén.);271
galets;2711
Dunes côtières (gén.);272
Dune à ammophile;2721
Dune grise/broussaille dunaire;2722
Machair;2723
dépression humide intradunale;2724
Dune de sable non littorale;273
Moraine et éboulis (gén.);28
calcaires;281
non calcaires;282
Toundra (gén.);29
DEHESA (gén.);4
Quercus rotundifolia/Q. suber dehesa (gén.);41
Berge de ruisseau;7442c
Ruisseau saisonnier;7332c
Fossé de drainage;734c
Berge de mare permanente;7462c
Banquette Allium;791c
Banquette Artemisia;792c
Banquette Narcissus;793c
MACROHABITATS DES ZONES CULTIVÉES (gén.);5
Milieux ruraux (général);501
Grandes cultures (gén.);51
Céréales;511
Maïs;5111
Jachère;515
Vergers;52
Verger d'amandiers;521
Verger d’oliviers (bio);522
Vignoble (général);53
Bord de champ/ourlet herbeux de haie (gén.);54
Bord de champ permanent;541
Nouveau bord de champ;542
Haie;543
Haie et bords de champ;544
Vieux mur de bord de champ;545
Déchets organiques de ferme;57
Milieux urbains (général);502
Parcs urbains (gén.);55
Pelouse;551
Prairies fleuries (gén);558
prairie fleurie fauchée;5581
prairie fleurie en partie fauchée;5582
Parterres de fleur (gén.);552
saisonniers;5521
semi-permanents.;5522
rocaille;5523
arbustes/haie;553
Arbre de sous étage;554
Arbre de la canopées (gén.);555
Arbres de haut jet matures (gén);5551
feuillus (gén);55511
Picea;55512
Pinus sylvestris;55513
Arbres de haut-jet surmatures (gén);5552
Fagus;55521
Fraxinus;55522
Populus nigra;55523
Quercus;55524
Pièces d'eau (gén.);556
végétalisées;5561
non végétalisées;5562
Jardin (gén.);56
Jardin ornemental (gén);561
mare de jardin;5611
Jardin potager/jardins collectifs;562
carré potager;5621
arbustes à baies;5622
Arbres fruitiers (gén.);563
mature;5631
sur-mature;5632
Tas de compost;58
Haie de biodiversité;59
Berge de ruisseau en zone humide;7442w
Source en zone humide;731w
Source en zone humide;732w
Résurgence en zone humides;733w
Fossé de drainage en zone humide;734w
Mare permanente en zone humide;712w
Berge de mare permanente en zone humide;7462w
