cd_nom;StN_2020;nom_scient_TaxRef_v15
23238;Platycheirus manicatus (Meigen),  1822;Platycheirus manicatus (Meigen, 1822)
217591;Platycheirus occultus Goeldlin, Maibach & Speight,  1990;Platycheirus occultus Goeldlin, Maibach & Speight, 1990
23240;Platycheirus peltatus (Meigen),  1822;Platycheirus peltatus (Meigen, 1822)
24306;Platycheirus scutatus (Meigen),  1822;Platycheirus scutatus (Meigen, 1822)
217595;Platycheirus splendidus Rotheray,  1998;Platycheirus splendidus Rotheray, 1998
24310;Platycheirus tarsalis (Schummel),  1836;Platycheirus tarsalis (Schummel, 1836)
23948;Pocota personata (Harris),  1780;Pocota personata (Harris, 1780)
217598;Portevinia maculata (Fallen),  1817;Portevinia maculata (Fallén, 1817)
24507;Psarus abdominalis (Fabricius),  1794;Psarus abdominalis (Fabricius, 1794)
258336;Psilota atra (Loew), 1817;Psilota atra (Fallén, 1817)
24401;Pyrophaena granditarsis (Forster),  1771;Pyrophaena granditarsa (Forster, 1771)
24403;Pyrophaena rosarum (Fabricius),  1787;Pyrophaena rosarum (Fabricius, 1787)
217599;Rhingia borealis Ringdahl,  1928;Rhingia borealis Ringdahl, 1928
24509;Rhingia campestris Meigen,  1822;Rhingia campestris Meigen, 1822
24510;Rhingia rostrata (L.),  1758;Rhingia rostrata (Linnaeus, 1758)
217603;Riponnensia splendens (Meigen),  1822;Riponnensia splendens (Meigen, 1822)
217605;Scaeva dignota (Rondani,  1857);Scaeva dignota (Rondani, 1857)
23154;Scaeva pyrastri (L.),  1758;Scaeva pyrastri (Linnaeus, 1758)
23156;Scaeva selenitica (Meigen),  1822;Scaeva selenitica (Meigen, 1822)
24571;Sericomyia lappona (L.),  1758;Sericomyia lappona (Linnaeus, 1758)
24572;Sericomyia silentis (Harris),  1776;Sericomyia silentis (Harris, 1778)
727254;Sericomyia superbiens (Muller),  1776;Sericomyia superbiens (Müller, 1776)
24312;Sphaerophoria batava Goeldlin,  1974;Sphaerophoria batava Goeldlin, 1974
217613;Sphaerophoria interrupta (Fabricius),  1805;Sphaerophoria interrupta (Fabricius, 1805)
197816;;Sphaerophoria sp
913324;Sphaerophoria rueppelli (Wiedemann),  1830;Sphaerophoria rueppellii (Wiedemann, 1830)
24321;Sphaerophoria scripta (L.),  1758;Sphaerophoria scripta (Linnaeus, 1758)
24323;Sphaerophoria taeniata (Meigen),  1822;Sphaerophoria taeniata (Meigen, 1822)
24512;Sphegina clunipes (Fallen),  1816;Sphegina clunipes (Fallén, 1816)
217618;Sphegina elegans Schummel,  1843;Sphegina elegans Schummel, 1843
24517;Sphegina sibirica Stackelberg,  1953;Sphegina sibirica Stackelberg, 1953
23951;Sphiximorpha subsessilis (Illiger in Rossi),  1807;Sphiximorpha subsessilis (Illiger in Rossi, 1807)
217626;Spilomyia manicata (Rondani),  1865;Spilomyia manicata (Rondani, 1865)
24577;Syritta pipiens (L.),  1758;Syritta pipiens (Linnaeus, 1758)
23162;Syrphus nitidifrons Becker,  1921;Syrphus nitidifrons Becker, 1921
23163;Syrphus ribesii (L.),  1758;Syrphus ribesii (Linnaeus, 1758)
23164;Syrphus torvus Osten-Sacken,  1875;Syrphus torvus Osten-Sacken, 1875
23165;Syrphus vitripennis Meigen,  1822;Syrphus vitripennis Meigen, 1822
24579;Temnostoma apiforme (Fabricius),  1794;Temnostoma apiforme (Fabricius, 1794)
24580;Temnostoma bombylans (Fabricius),  1805;Temnostoma bombylans (Fabricius, 1805)
24581;Temnostoma vespiforme (L.),  1758;Temnostoma vespiforme (Linnaeus, 1758)
217632;Trichopsomyia flavitarsis (Meigen),  1822;Trichopsomyia flavitarsis (Meigen, 1822)
24412;Triglyphus primus Loew,  1840;Triglyphus primus Loew, 1840
24583;Tropidia fasciata Meigen,  1822;Tropidia fasciata Meigen, 1822
24584;Tropidia scita (Harris),  1780;Tropidia scita (Harris, 1780)
24588;Volucella bombylans (L.),  1758;Volucella bombylans (Linnaeus, 1758)
24591;Volucella inanis (L.),  1758;Volucella inanis (Linnaeus, 1758)
24592;Volucella inflata (Fabricius),  1794;Volucella inflata (Fabricius, 1794)
24593;Volucella pellucens (L.),  1758;Volucella pellucens (Linnaeus, 1758)
24594;Volucella zonaria (Poda),  1761;Volucella zonaria (Poda, 1761)
24326;Xanthandrus comtus (Harris),  1780;Xanthandrus comtus (Harris, 1780)
24329;Xanthogramma citrofasciatum (De Geer), 1776;Xanthogramma citrofasciatum (De Geer, 1776)
258370;Xanthogramma dives (Rondani), 1857;Xanthogramma dives (Rondani, 1857)
217635;Xanthogramma laetum (Fabricius),  1794;Xanthogramma laetum (Fabricius, 1794)
24331;Xanthogramma pedissequum (Harris), 1776;Xanthogramma pedissequum (Harris, 1778)
258372;Xanthogramma stackelbergi Violovitsh, 1975;Xanthogramma stackelbergi Violovitsh, 1975
24598;Xylota abiens Meigen, 1822;Xylota abiens Meigen, 1822
24605;Xylota florum (Fabricius), 1805;Xylota florum (Fabricius, 1805)
217637;Xylota jakutorum Bagatshanova, 1980;Xylota jakutorum Bagatshanova, 1980
23666;Xylota segnis (L.), 1758;Xylota segnis (Linnaeus, 1758)
23667;Xylota sylvarum (L.), 1758;Xylota sylvarum (Linnaeus, 1758)
23668;Xylota tarda Meigen, 1822;Xylota tarda Meigen, 1822
23669;Xylota xanthocnema Collin, 1939;Xylota xanthocnema Collin, 1939
